NAME   REFERENCE        TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          60s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          61s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          62s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          63s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          64s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          66s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          67s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          68s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          69s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          70s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          71s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          72s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          73s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          74s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          75s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          76s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          77s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          79s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          80s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          81s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          82s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          83s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          84s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          85s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          86s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          87s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          88s
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          89s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          91s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          92s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          93s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          94s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          95s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          96s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          97s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          98s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          99s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          100s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          101s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          102s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          104s
webserver-hpa   Deployment/webserver-deployment   cpu: 49%/50%   2         10        2          105s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          106s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          107s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          108s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          109s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          110s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          111s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          112s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          113s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          114s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          115s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          117s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          118s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          119s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m1s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m2s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m3s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m4s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m5s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m6s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m7s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m9s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m10s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m11s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m12s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m13s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m14s
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          2m15s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m16s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m17s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m18s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m19s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m20s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m22s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m23s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m24s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m25s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m26s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m27s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m28s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m29s
webserver-hpa   Deployment/webserver-deployment   cpu: 55%/50%   2         10        2          2m30s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m31s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m32s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m34s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m35s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m36s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m37s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m38s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m39s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m40s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m41s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m42s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m43s
webserver-hpa   Deployment/webserver-deployment   cpu: 207%/50%   2         10        2          2m44s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m46s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m47s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m48s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m49s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m50s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m51s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m52s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m53s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m54s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m55s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m56s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m58s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          2m59s
webserver-hpa   Deployment/webserver-deployment   cpu: 250%/50%   2         10        4          3m
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m1s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m2s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m3s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m4s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m5s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m6s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m7s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m8s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m10s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m11s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m12s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m13s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m14s
webserver-hpa   Deployment/webserver-deployment   cpu: 126%/50%   2         10        8          3m15s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m16s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m17s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m18s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m19s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m20s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m21s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m23s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m24s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m25s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m26s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m27s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m28s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m29s
webserver-hpa   Deployment/webserver-deployment   cpu: 84%/50%   2         10        10         3m30s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m31s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m32s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m33s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m34s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m36s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m37s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m38s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m39s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m40s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m41s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m42s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m43s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m44s
webserver-hpa   Deployment/webserver-deployment   cpu: 56%/50%   2         10        10         3m45s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m46s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m47s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m49s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m50s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m51s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m52s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m53s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m54s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m55s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m56s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m57s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m58s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         3m59s
webserver-hpa   Deployment/webserver-deployment   cpu: 51%/50%   2         10        10         4m
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m2s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m3s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m4s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m5s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m6s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m7s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m8s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m9s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m10s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m11s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m12s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m14s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m15s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m16s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m17s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m18s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m19s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m20s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m21s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m22s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m23s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m24s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m25s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m27s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m28s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m29s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m30s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m31s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m32s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m33s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m34s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m35s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m36s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m37s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m38s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m40s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m41s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m42s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m43s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m44s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m45s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m46s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m47s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m48s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m49s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m50s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m52s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m53s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m54s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m55s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m56s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m57s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m58s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         4m59s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m1s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m2s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m3s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m5s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m6s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m7s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m8s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m9s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m10s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m11s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m12s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m13s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m14s
webserver-hpa   Deployment/webserver-deployment   cpu: 50%/50%   2         10        10         5m15s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m16s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m18s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m19s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m20s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m21s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m22s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m23s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m24s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m25s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m26s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m27s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m28s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m30s
webserver-hpa   Deployment/webserver-deployment   cpu: 48%/50%   2         10        10         5m31s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m32s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m33s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m34s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m35s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m36s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m37s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m38s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m39s
webserver-hpa   Deployment/webserver-deployment   cpu: 22%/50%   2         10        10         5m40s
