NAME   REFERENCE        TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        4          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        4          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        4          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 0%/50%   2         10        3          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
keda-hpa-webserver-scaledobject   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          21m
