NAME   REFERENCE        TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 0%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 35%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          11m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
webserver-hpa   Deployment/webserver-deployment   cpu: 54%/50%   2         10        2          12m
